"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.137179000E-2,5.657491684E-1,-7.765570641E0,6.099518299E0,9.890818115E0
1.377475900E-2,5.657491684E-1,-7.765570641E0,6.099518299E0,9.890818115E0
1.620278000E-2,5.513846874E-1,-7.772752762E0,6.101912498E0,9.897123153E0
1.865590500E-2,5.513846874E-1,-7.772752762E0,6.101912498E0,9.897123153E0
2.110923800E-2,5.609610081E-1,-7.775146961E0,6.101912498E0,9.899541588E0
2.356278000E-2,5.585669279E-1,-7.770359039E0,6.109095097E0,9.900076743E0
2.601632200E-2,5.537787676E-1,-7.803876400E0,6.104306221E0,9.923190627E0
2.846975900E-2,5.753256083E-1,-7.813452244E0,6.111488819E0,9.936364079E0
3.092319700E-2,5.705374479E-1,-7.818240643E0,6.111488819E0,9.939853888E0
3.337663400E-2,5.633550882E-1,-7.803876400E0,6.075577259E0,9.906083729E0
3.583012400E-2,5.801137686E-1,-7.801481724E0,6.044454098E0,9.886105118E0
3.828366500E-2,5.561728477E-1,-7.818240643E0,6.082759857E0,9.921400227E0
4.073715500E-2,5.465964079E-1,-7.799088001E0,6.092335701E0,9.911664622E0
4.319064500E-2,5.442023277E-1,-7.808664322E0,6.075577259E0,9.908785682E0
4.564418600E-2,5.346258879E-1,-7.760782242E0,6.094730377E0,9.882373410E0
4.809772800E-2,5.777196884E-1,-7.763176441E0,6.121065617E0,9.902934554E0
5.055127000E-2,5.872961283E-1,-7.739235401E0,6.097124577E0,9.869934622E0
5.300481100E-2,5.992666483E-1,-7.732053280E0,6.097124577E0,9.865023900E0
5.545840500E-2,6.327840090E-1,-7.717689037E0,6.149794579E0,9.888534423E0
5.791199900E-2,6.327840090E-1,-7.698535919E0,6.154582500E0,9.876576161E0
6.036559200E-2,6.495426893E-1,-7.688959122E0,6.130641460E0,9.855291107E0
6.281918600E-2,6.591190100E-1,-7.739235401E0,6.137824059E0,9.899650834E0
6.527283200E-2,6.399662495E-1,-7.712900162E0,6.156976700E0,9.889729409E0
6.772647800E-2,6.495426893E-1,-7.710506439E0,6.166553020E0,9.894452557E0
7.018012400E-2,6.423603296E-1,-7.741629601E0,6.142611980E0,9.903390208E0
7.263377000E-2,6.016607285E-1,-7.736841202E0,6.130641460E0,9.889664915E0
7.508741500E-2,5.801137686E-1,-7.724870682E0,6.128247261E0,9.877528716E0
7.754106100E-2,5.657491684E-1,-7.727264881E0,6.118670940E0,9.872630285E0
7.999470700E-2,5.537787676E-1,-7.736841202E0,6.099518299E0,9.867598805E0
8.244835300E-2,5.250495672E-1,-7.744023800E0,6.075577259E0,9.856886968E0
8.490199900E-2,5.322318077E-1,-7.724870682E0,6.099518299E0,9.857029026E0
8.735564500E-2,4.891380966E-1,-7.736841202E0,6.099518299E0,9.864182244E0
8.980929000E-2,4.604088962E-1,-7.763176441E0,6.087547779E0,9.876088435E0
9.226293600E-2,4.532265961E-1,-7.744023800E0,6.082759857E0,9.857752606E0
9.471658200E-2,4.508325160E-1,-7.729659557E0,6.058818817E0,9.831590527E0
9.717022800E-2,4.508325160E-1,-7.734447479E0,6.077971458E0,9.847165319E0
9.962387400E-2,4.556206763E-1,-7.729659557E0,6.066000938E0,9.836238837E0
1.020775200E-1,4.843498766E-1,-7.724870682E0,6.025301456E0,9.808796027E0
1.045311650E-1,4.843498766E-1,-7.722476959E0,5.989389896E0,9.784888171E0
1.069848110E-1,4.867439568E-1,-7.722476959E0,5.998966217E0,9.790871552E0
1.094384570E-1,5.178672075E-1,-7.691353321E0,5.998966217E0,9.767942364E0
1.118921030E-1,5.154731274E-1,-7.686565399E0,6.020513058E0,9.777299098E0
1.143457490E-1,5.106849670E-1,-7.691353321E0,6.030089378E0,9.786710017E0
1.167993950E-1,5.226554871E-1,-7.669806957E0,5.986995697E0,9.743881413E0
1.192530400E-1,5.154731274E-1,-7.672200680E0,5.773921013E0,9.615952354E0
1.217066860E-1,4.963203967E-1,-7.662624359E0,5.642245293E0,9.528750073E0
1.241603320E-1,4.508325160E-1,-7.724870682E0,5.759556293E0,9.646209914E0
1.266139780E-1,4.197091758E-1,-7.772752762E0,5.953478336E0,9.799782936E0
1.290676240E-1,3.430980146E-1,-7.837393284E0,6.061213017E0,9.913664961E0
1.315212700E-1,2.449400127E-1,-7.851758480E0,6.063606739E0,9.923579673E0
1.339749670E-1,1.970579922E-1,-7.851758480E0,6.030089378E0,9.902066501E0
1.364286650E-1,1.276291609E-1,-7.858940125E0,5.986995697E0,9.880452751E0
1.388781970E-1,1.036881506E-1,-7.839787960E0,5.994177818E0,9.869305660E0
1.413040300E-1,1.539642215E-1,-7.787117481E0,6.027695179E0,9.848655381E0
1.437096030E-1,2.425458729E-1,-7.736841202E0,6.001360416E0,9.794583561E0
1.461149150E-1,3.526744545E-1,-7.708112240E0,5.991784096E0,9.769383308E0
1.485205400E-1,5.082908869E-1,-7.650653839E0,6.073183537E0,9.781330281E0
1.509259050E-1,6.782718897E-1,-7.590801239E0,6.128247261E0,9.779352264E0
1.533318420E-1,8.291000128E-1,-7.521372318E0,6.097124577E0,9.717683699E0
1.557375720E-1,9.583814144E-1,-7.463914394E0,6.075577259E0,9.671667491E0
1.581428320E-1,1.037386656E0,-7.466308117E0,6.070789337E0,9.678657507E0
1.605489260E-1,1.080480576E0,-7.466308117E0,6.121065617E0,9.714969864E0
1.629548110E-1,1.087662816E0,-7.466308117E0,6.176129341E0,9.750555930E0
1.653602800E-1,1.008657575E0,-7.533342838E0,6.204858780E0,9.811672482E0
1.677660090E-1,9.535932541E-1,-7.559678555E0,6.097124577E0,9.758740085E0
1.701718950E-1,8.386765718E-1,-7.629106998E0,6.470603943E0,1.003869351E1
1.725780920E-1,7.620652914E-1,-7.662624359E0,6.183311939E0,9.875722865E0
1.749837700E-1,6.830600500E-1,-7.748811722E0,6.245558262E0,9.975853454E0
1.773891860E-1,5.777196884E-1,-7.789511681E0,6.475391865E0,1.014598206E1
1.797954360E-1,5.681433678E-1,-7.832605362E0,6.006148338E0,9.886673430E0
1.822011650E-1,5.106849670E-1,-7.880487442E0,6.501727104E0,1.022914155E1
1.846063740E-1,5.442023277E-1,-7.873304844E0,6.037271976E0,9.936485206E0
1.870119990E-1,5.250495672E-1,-7.882881165E0,6.197676182E0,1.004124905E1
1.894174670E-1,5.489904881E-1,-7.897245884E0,6.298228264E0,1.011610411E1
1.918230400E-1,5.801137686E-1,-7.863729000E0,5.884049416E0,9.838536644E0
1.942283530E-1,5.609610081E-1,-7.870910645E0,6.379627705E0,1.014719475E1
1.966334570E-1,5.777196884E-1,-7.858940125E0,5.905596256E0,9.847475162E0
1.990391860E-1,5.681433678E-1,-7.856546402E0,6.147400379E0,9.991928726E0
2.014446550E-1,5.489904881E-1,-7.832605362E0,6.224011421E0,1.001945186E1
2.038499150E-1,5.585669279E-1,-7.837393284E0,5.891232014E0,9.820557272E0
2.062555920E-1,5.226554871E-1,-7.806270123E0,6.396386147E0,1.010568047E1
2.086612170E-1,5.322318077E-1,-7.796693802E0,5.910384178E0,9.798180753E0
2.110670510E-1,5.226554871E-1,-7.806270123E0,6.221617222E0,9.995976332E0
2.134726240E-1,5.130790472E-1,-7.794299603E0,6.214435101E0,9.981661185E0
2.158778840E-1,5.250495672E-1,-7.799088001E0,5.967843056E0,9.834459896E0
2.182837170E-1,5.154731274E-1,-7.777541161E0,6.456238747E0,1.012120931E1
2.206891860E-1,5.585669279E-1,-7.734447479E0,5.927143574E0,9.760364018E0
2.230945510E-1,5.346258879E-1,-7.784723282E0,6.307805061E0,1.003375035E1
2.255002280E-1,5.753256083E-1,-7.760782242E0,6.185705662E0,9.941010768E0
