"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.878069200E-2,4.155025631E-2,-3.189859167E-2,-1.985309646E-4,5.238304463E-2
1.012265260E-1,4.460458085E-2,-3.617464378E-2,-1.420259941E-3,5.744728561E-2
1.036715260E-1,4.582630843E-2,-4.045069590E-2,-8.093961515E-4,6.113071622E-2
1.061157450E-1,4.765890539E-2,-4.411588609E-2,-2.031125594E-3,6.497467306E-2
1.085607970E-1,4.765890539E-2,-4.839193821E-2,-1.420259941E-3,6.793502841E-2
1.110066300E-1,4.888063297E-2,-5.388972163E-2,-1.985309646E-4,7.275615294E-2
1.134516300E-1,4.949149862E-2,-5.755491182E-2,-8.093961515E-4,7.591199795E-2
1.158959010E-1,5.071322620E-2,-6.122009829E-2,1.634063199E-3,7.951353286E-2
1.183409010E-1,5.132409185E-2,-6.488528848E-2,1.023198478E-3,8.273638861E-2
1.207867340E-1,5.254582316E-2,-7.038307190E-2,1.023198478E-3,8.784012339E-2
1.232317860E-1,5.254582316E-2,-7.404825836E-2,4.123337567E-4,9.079855790E-2
1.256760050E-1,5.193495750E-2,-7.710257918E-2,4.123337567E-4,9.296352804E-2
1.281210050E-1,5.132409185E-2,-8.015690744E-2,-1.985309646E-4,9.518052127E-2
1.305668380E-1,5.254582316E-2,-8.137863874E-2,-1.985309646E-4,9.686891034E-2
1.330118900E-1,5.132409185E-2,-8.137863874E-2,1.634063199E-3,9.622533664E-2
1.354561090E-1,5.132409185E-2,-8.076777309E-2,-1.985309646E-4,9.569553275E-2
1.379011610E-1,5.071322620E-2,-7.832431048E-2,-8.093961515E-4,9.331229311E-2
1.403469420E-1,5.071322620E-2,-7.526998967E-2,-1.420259941E-3,9.077124982E-2
1.427919950E-1,5.071322620E-2,-7.038307190E-2,-1.420259941E-3,8.676188829E-2
1.452362130E-1,4.826977104E-2,-6.855047494E-2,-3.252855036E-3,8.390303616E-2
1.476812650E-1,4.704803973E-2,-6.549615413E-2,-3.863718826E-3,8.073532419E-2
1.501270990E-1,4.704803973E-2,-6.305269152E-2,-5.085448269E-3,7.883540914E-2
1.525720990E-1,4.582630843E-2,-5.938750505E-2,-6.307177711E-3,7.527753178E-2
1.550163170E-1,4.582630843E-2,-5.450058728E-2,-8.139772341E-3,7.167022012E-2
1.574613700E-1,4.338285327E-2,-5.144626275E-2,-1.119409502E-2,6.822094746E-2
1.599072030E-1,4.155025631E-2,-4.961366951E-2,-1.180496067E-2,6.578219439E-2
1.623522030E-1,3.971766308E-2,-4.778107628E-2,-1.302669011E-2,6.348400323E-2
1.647964740E-1,3.727420419E-2,-4.045069590E-2,-1.424841955E-2,5.682114533E-2
1.672414740E-1,3.483074531E-2,-3.434205055E-2,-1.669187844E-2,5.168342153E-2
1.696873070E-1,3.177642077E-2,-2.823340334E-2,-1.669187844E-2,4.566710837E-2
1.721323590E-1,3.055469133E-2,-2.273562178E-2,-1.852447167E-2,4.235154909E-2
1.745765780E-1,2.688950114E-2,-1.540524606E-2,-1.913533732E-2,3.642153226E-2
1.770215780E-1,2.383517660E-2,-4.409679212E-3,-2.096793056E-2,3.205019542E-2
1.794674110E-1,2.261344902E-2,2.920697676E-3,-2.218966186E-2,3.181634242E-2
1.819124630E-1,2.016999014E-2,9.029342793E-3,-2.157879621E-2,3.088692246E-2
1.843566820E-1,1.894825883E-2,1.635972038E-2,-2.218966186E-2,3.345232514E-2
1.868017340E-1,1.528307237E-2,2.369009703E-2,-2.157879621E-2,3.550263996E-2
1.892475150E-1,1.345047727E-2,3.040961176E-2,-2.157879621E-2,3.963968052E-2
1.916925670E-1,1.161788311E-2,3.590739518E-2,-2.157879621E-2,4.347367804E-2
1.941367860E-1,7.952694781E-3,4.262690246E-2,-2.096793056E-2,4.816588294E-2
1.965818380E-1,6.120100617E-3,4.568123072E-2,-2.096793056E-2,5.063481593E-2
1.990276720E-1,4.287506454E-3,5.056814849E-2,-1.974620298E-2,5.445578836E-2
2.014726720E-1,1.844047802E-3,5.606593192E-2,-1.913533732E-2,5.927014736E-2
2.039168900E-1,6.223183591E-4,6.034198031E-2,-1.669187844E-2,6.261118649E-2
2.063619420E-1,-1.821140526E-3,6.522890180E-2,-1.547014900E-2,6.706304268E-2
2.088077760E-1,-4.264599644E-3,6.889408082E-2,-1.424841955E-2,7.048119353E-2
2.112527760E-1,-6.708058529E-3,7.317013294E-2,-1.363755390E-2,7.473184916E-2
2.136970470E-1,-7.318923250E-3,7.683532685E-2,-1.058323123E-2,7.790531993E-2
2.161420470E-1,-9.151517414E-3,7.744618505E-2,-9.972365573E-3,7.862003514E-2
2.185878800E-1,-1.037324686E-2,8.111137897E-2,-9.972365573E-3,8.237783757E-2
2.210329320E-1,-1.037324686E-2,8.111137897E-2,-8.139772341E-3,8.217612757E-2
2.234771510E-1,-1.526016463E-2,8.172223717E-2,-5.696313921E-3,8.332973458E-2
2.259221510E-1,-1.220584102E-2,8.538743109E-2,-6.307177711E-3,8.648570074E-2
2.283679840E-1,-1.770362258E-2,8.355484158E-2,-6.307177711E-3,8.564233938E-2
2.308130360E-1,-1.342756953E-2,8.355484158E-2,-5.085448269E-3,8.477955508E-2
2.332572550E-1,-1.770362258E-2,7.988964766E-2,-5.696313921E-3,8.202574016E-2
2.357023070E-1,-1.587102748E-2,8.050050586E-2,-5.085448269E-3,8.220755891E-2
2.381480880E-1,-1.892535202E-2,7.683532685E-2,-3.863718826E-3,7.922603565E-2
2.405931400E-1,-1.892535202E-2,7.439186424E-2,-4.474584479E-3,7.689174416E-2
2.430373590E-1,-1.892535202E-2,7.072667032E-2,-4.474584479E-3,7.335156952E-2
2.454824110E-1,-2.259054221E-2,6.583976001E-2,-5.085448269E-3,6.979303962E-2
2.479282450E-1,-1.831448637E-2,6.156371161E-2,-5.085448269E-3,6.443114761E-2
2.503732450E-1,-2.259054221E-2,5.606593192E-2,-4.474584479E-3,6.061141168E-2
2.528174630E-1,-1.953621767E-2,5.178987235E-2,-3.863718826E-3,5.548678223E-2
2.552625150E-1,-2.381226979E-2,4.384863377E-2,-3.863718826E-3,5.004653034E-2
2.577083490E-1,-2.197967656E-2,4.018344730E-2,-2.641989384E-3,4.587805278E-2
2.601533490E-1,-2.381226979E-2,3.285306692E-2,-3.863718826E-3,4.075876006E-2
2.625976200E-1,-2.259054221E-2,2.796614915E-2,-3.863718826E-3,3.615752230E-2
