"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.595668500E-2,6.562966824E0,-2.237596750E0,6.891964912E0,9.776428443E0
1.835965400E-2,6.562966824E0,-2.237596750E0,6.891964912E0,9.776428443E0
2.077330000E-2,6.618031025E0,-2.228020430E0,6.887176991E0,9.807936408E0
2.318840400E-2,6.673095226E0,-2.225626230E0,6.868023872E0,9.831244272E0
2.559460200E-2,6.716189384E0,-2.208867550E0,6.848871231E0,9.843441108E0
2.800022700E-2,6.740129948E0,-2.220838070E0,6.808171272E0,9.834259988E0
3.040522700E-2,6.730553627E0,-2.218444109E0,6.820141792E0,9.835455275E0
3.281085200E-2,6.685065746E0,-2.206473589E0,6.836900711E0,9.813350145E0
3.521621600E-2,6.689854145E0,-2.206473589E0,6.863235950E0,9.834972389E0
3.762173700E-2,6.653942585E0,-2.199291229E0,6.860841751E0,9.807292357E0
4.002684100E-2,6.594089985E0,-2.211261749E0,6.875206470E0,9.779578992E0
4.243168500E-2,6.567755222E0,-2.218444109E0,6.879994392E0,9.766843183E0
4.483757000E-2,6.495932102E0,-2.230414629E0,6.872812271E0,9.716348687E0
4.724303900E-2,6.457626343E0,-2.244779110E0,6.851265430E0,9.678833051E0
4.964824800E-2,6.426503181E0,-2.242385149E0,6.777048588E0,9.605031070E0
5.205387300E-2,6.390591621E0,-2.285478830E0,6.721983910E0,9.552389357E0
5.445934100E-2,6.345103741E0,-2.290266991E0,6.690860748E0,9.501225285E0
5.686527900E-2,6.330739021E0,-2.299843311E0,6.681284428E0,9.487207040E0
5.927085200E-2,6.294827461E0,-2.314208031E0,6.707619190E0,9.485387013E0
6.167611200E-2,6.278069019E0,-2.314208031E0,6.731560230E0,9.491238726E0
6.408220600E-2,6.285251141E0,-2.323784351E0,6.731560230E0,9.498329261E0
6.648777900E-2,6.278069019E0,-2.318996191E0,6.760289192E0,9.512802106E0
6.889298700E-2,6.313980579E0,-2.309419870E0,6.791412830E0,9.556309912E0
7.129866400E-2,6.304404259E0,-2.295055389E0,6.817748070E0,9.565274750E0
7.370413300E-2,6.325951099E0,-2.285478830E0,6.798595428E0,9.563575199E0
7.610991400E-2,6.335526943E0,-2.259143829E0,6.865629673E0,9.611425664E0
7.851543500E-2,6.340315819E0,-2.235202789E0,6.887176991E0,9.624393128E0
8.092027900E-2,6.361862659E0,-2.225626230E0,6.915905952E0,9.656938633E0
8.332600800E-2,6.397774220E0,-2.192109108E0,6.935059071E0,9.686686824E0
8.573184100E-2,6.426503181E0,-2.199291229E0,6.920694351E0,9.697052921E0
8.813736200E-2,6.469596863E0,-2.180138588E0,6.937452793E0,9.733290250E0
9.054309100E-2,6.495932102E0,-2.184926510E0,6.973364353E0,9.777466345E0
9.294856000E-2,6.536631584E0,-2.175350428E0,6.951817513E0,9.787107268E0
9.535449800E-2,6.519873142E0,-2.187320709E0,6.915905952E0,9.753095551E0
9.776043500E-2,6.548602104E0,-2.192109108E0,6.889570713E0,9.754779161E0
1.001658520E-1,6.579725742E0,-2.187320709E0,6.877600193E0,9.766194097E0
1.025718410E-1,6.555784702E0,-2.187320709E0,6.877600193E0,9.750080480E0
1.049776750E-1,6.567755222E0,-2.204079628E0,6.863235950E0,9.751788727E0
1.073830910E-1,6.570148945E0,-2.216049910E0,6.860841751E0,9.754428937E0
1.097886120E-1,6.534237862E0,-2.230414629E0,6.839294910E0,9.718383030E0
1.121940810E-1,6.531843662E0,-2.247173309E0,6.832112312E0,9.715581720E0
1.145999140E-1,6.527055264E0,-2.259143829E0,6.834506989E0,9.716823917E0
1.170053830E-1,6.510296822E0,-2.278296471E0,6.834506989E0,9.710050736E0
1.194105390E-1,6.495932102E0,-2.283084869E0,6.868023872E0,9.725192148E0
1.218163200E-1,6.467202663E0,-2.295055389E0,6.906329155E0,9.735983357E0
1.242218930E-1,6.428897381E0,-2.292661190E0,6.901541233E0,9.706610544E0
1.266269980E-1,6.395379543E0,-2.304631472E0,6.920694351E0,9.700938925E0
1.290324140E-1,6.349892139E0,-2.326178551E0,6.975758553E0,9.715628864E0
1.314379870E-1,6.311586380E0,-2.330966473E0,6.982940674E0,9.696957656E0
1.338439770E-1,6.249339581E0,-2.335754871E0,6.997305393E0,9.668106266E0
1.362496540E-1,6.208640099E0,-2.333360910E0,7.006881714E0,9.648221409E0
1.386551750E-1,6.177516460E0,-2.328572512E0,7.035610676E0,9.647993426E0
1.410612680E-1,6.153575420E0,-2.338149071E0,7.064340591E0,9.656000182E0
1.434668930E-1,6.136816978E0,-2.366878033E0,7.052370071E0,9.643575990E0
1.458723100E-1,6.110482216E0,-2.352513552E0,7.088280678E0,9.649665066E0
1.482780910E-1,6.117664337E0,-2.328572512E0,7.081099033E0,9.643133848E0
1.506836120E-1,6.134423256E0,-2.340543032E0,7.224744797E0,9.762490858E0
1.530893410E-1,6.172728539E0,-2.299843311E0,7.222351074E0,9.775183472E0
1.554948620E-1,6.206246376E0,-2.273508310E0,6.970970154E0,9.606287472E0
1.578998100E-1,6.251733780E0,-2.232808590E0,7.674835205E0,1.014754674E1
1.603052270E-1,6.345103741E0,-2.196897030E0,7.023640156E0,9.716903780E0
1.627104870E-1,6.357074261E0,-2.180138588E0,7.550342560E0,1.010806956E1
1.651157480E-1,6.421715260E0,-2.146620989E0,7.459366322E0,1.007415279E1
1.675213730E-1,6.443261623E0,-2.149015188E0,7.219956398E0,9.912701802E0
1.699269450E-1,6.460020542E0,-2.146620989E0,7.770599365E0,1.033063704E1
1.723330390E-1,6.505507946E0,-2.117892027E0,7.124192238E0,9.877308101E0
1.747385080E-1,6.476778984E0,-2.149015188E0,7.638923645E0,1.024305066E1
1.771435600E-1,6.503114223E0,-2.151409388E0,7.375572681E0,1.006569070E1
1.795493410E-1,6.476778984E0,-2.175350428E0,7.207985878E0,9.931559591E0
1.819546020E-1,6.445655823E0,-2.189714909E0,7.638923645E0,1.023203229E1
1.843596020E-1,6.438473701E0,-2.184926510E0,7.014063835E0,9.768568930E0
1.867650700E-1,6.404956341E0,-2.232808590E0,7.550342560E0,1.014970801E1
1.891702790E-1,6.373833179E0,-2.247173309E0,7.270232201E0,9.926319234E0
1.915760600E-1,6.325951099E0,-2.242385149E0,7.236715317E0,9.869954257E0
1.939817890E-1,6.292433739E0,-2.247173309E0,7.650894165E0,1.015778971E1
1.963867370E-1,6.292433739E0,-2.244779110E0,7.081099033E0,9.735282180E0
1.987924140E-1,6.251733780E0,-2.247173309E0,7.682017326E0,1.015614855E1
2.011979870E-1,6.280463219E0,-2.242385149E0,7.267838478E0,9.863771365E0
2.036030910E-1,6.280463219E0,-2.235202789E0,7.298962116E0,9.885099783E0
2.060084560E-1,6.318768501E0,-2.220838070E0,7.571888924E0,1.010902859E1
2.084140290E-1,6.388197422E0,-2.182532549E0,6.968576431E0,9.702245725E0
2.108198100E-1,6.402562141E0,-2.199291229E0,7.535977364E0,1.013018453E1
2.132252270E-1,6.474385262E0,-2.151409388E0,6.999699593E0,9.774559901E0
2.156303830E-1,6.483961582E0,-2.163379908E0,7.112221718E0,9.864363547E0
2.180361640E-1,6.510296822E0,-2.156197548E0,7.222351074E0,9.959694152E0
2.204413200E-1,6.550996304E0,-2.151409388E0,6.659737587E0,9.586251595E0
2.228462160E-1,6.546208382E0,-2.168168068E0,7.210380554E0,9.977143112E0
2.252514770E-1,6.570148945E0,-2.144227028E0,6.628614426E0,9.576173344E0
2.276564770E-1,6.507902622E0,-2.180138588E0,6.863235950E0,9.706173732E0
2.300619980E-1,6.534237862E0,-2.149015188E0,6.947029591E0,9.776285125E0
2.324676230E-1,6.512690544E0,-2.158591509E0,6.525667667E0,9.468843326E0
2.348729870E-1,6.464808464E0,-2.149015188E0,7.150527954E0,9.876338632E0
2.372789250E-1,6.498326302E0,-2.129862547E0,6.554397106E0,9.472311261E0
2.396843930E-1,6.452837944E0,-2.156197548E0,6.891964912E0,9.684393928E0
2.420896540E-1,6.479173183E0,-2.120285988E0,6.853659153E0,9.666847552E0
2.444953830E-1,6.479173183E0,-2.132256508E0,6.463421345E0,9.396915368E0
2.469012680E-1,6.474385262E0,-2.110709667E0,7.028429031E0,9.786295237E0
2.493075180E-1,6.524661064E0,-2.072404146E0,6.370051384E0,9.351129107E0
2.517132480E-1,6.515084743E0,-2.093950987E0,6.812959671E0,9.656468269E0
2.541185600E-1,6.529448986E0,-2.072404146E0,6.705225468E0,9.585854765E0
2.565246540E-1,6.558178425E0,-2.065221786E0,6.484968185E0,9.451436803E0
2.589306430E-1,6.512690544E0,-2.081980467E0,7.049975395E0,9.820994545E0
2.613363730E-1,6.527055264E0,-2.046068907E0,6.425116062E0,9.384613194E0
2.637423620E-1,6.467202663E0,-2.086768627E0,7.040399551E0,9.785016067E0
2.661482480E-1,6.462414742E0,-2.046068907E0,6.829718590E0,9.622591038E0
2.685546020E-1,6.407350063E0,-2.074798107E0,6.731560230E0,9.522227951E0
2.709605390E-1,6.373833179E0,-2.065221786E0,7.263050556E0,9.881436829E0
2.733662680E-1,6.364256859E0,-2.043674707E0,6.745924950E0,9.496729706E0
2.757727790E-1,6.335526943E0,-2.081980467E0,7.411484241E0,9.970137560E0
2.781785600E-1,6.297221661E0,-2.036492586E0,7.097857475E0,9.704735104E0
2.805839770E-1,6.175122738E0,-2.053251028E0,7.081099033E0,9.617169237E0
2.829899140E-1,6.110482216E0,-2.067615747E0,7.435425282E0,9.843707478E0
2.853958520E-1,6.069782257E0,-2.038886547E0,6.999699593E0,9.486575219E0
2.878024140E-1,6.031476498E0,-2.079586267E0,7.921427727E0,1.017115554E1
2.902084040E-1,6.105693817E0,-2.034098387E0,7.614983082E0,9.970206646E0
2.926139770E-1,6.227793217E0,-2.029310226E0,7.756234646E0,1.015197933E1
2.950203310E-1,6.414532661E0,-1.993398666E0,7.875939369E0,1.035134235E1
2.974262160E-1,6.694642067E0,-1.955093026E0,7.038004875E0,9.908286117E0
2.998318930E-1,6.969963551E0,-1.935940385E0,7.344449997E0,1.030869550E1
3.022378830E-1,7.211767673E0,-1.895240545E0,6.449057102E0,9.858593572E0
3.046439250E-1,7.360201836E0,-1.897634745E0,6.326957703E0,9.889589600E0
3.070503830E-1,7.434418678E0,-1.873693705E0,6.257528782E0,9.896361737E0
3.094562680E-1,7.424842358E0,-1.883270025E0,5.706886292E0,9.552148511E0
3.118616850E-1,7.324290276E0,-1.933546185E0,6.391598225E0,9.911425566E0
3.142678830E-1,7.214161873E0,-1.935940385E0,5.900808334E0,9.519009176E0
3.166739250E-1,6.991510868E0,-1.993398666E0,6.465815544E0,9.729421006E0
3.190793930E-1,6.823923588E0,-2.012551546E0,6.733954430E0,9.796042013E0
3.214848100E-1,6.591696262E0,-2.036492586E0,6.585520267E0,9.537653740E0
3.238902270E-1,6.414532661E0,-2.058039427E0,7.416272640E0,1.001912448E1
3.262962160E-1,6.268492699E0,-2.079586267E0,6.944635391E0,9.583665294E0
3.287015290E-1,6.143999577E0,-2.089162588E0,7.504854202E0,9.921500275E0
3.311065810E-1,6.098511696E0,-2.084374666E0,7.466548920E0,9.863357209E0
3.335128310E-1,6.067388058E0,-2.084374666E0,7.133769035E0,9.594189713E0
3.359187160E-1,6.072176456E0,-2.093950987E0,7.643712044E0,9.984101936E0
3.383239250E-1,6.155970097E0,-2.060433626E0,6.903935432E0,9.476585831E0
3.407296020E-1,6.230186939E0,-2.041280746E0,7.308538437E0,9.818186720E0
3.431354350E-1,6.330739021E0,-2.038886547E0,7.054763794E0,9.695617933E0
3.455416850E-1,6.426503181E0,-1.988610506E0,6.824930191E0,9.583015548E0
3.479471540E-1,6.512690544E0,-1.971851707E0,7.315720558E0,9.991151313E0
3.503520500E-1,6.622818947E0,-1.938334346E0,6.705225468E0,9.621793981E0
3.527578310E-1,6.673095226E0,-1.914393306E0,7.284597397E0,1.006282569E1
3.551634560E-1,6.761677265E0,-1.888058305E0,7.057157993E0,9.954321802E0
3.575689250E-1,6.809558868E0,-1.878481984E0,7.035610676E0,9.969884860E0
3.599751230E-1,6.874199867E0,-1.859329104E0,7.495277882E0,1.033880646E1
3.623815810E-1,6.919687748E0,-1.828205824E0,6.913511753E0,9.950932611E0
3.647883000E-1,6.934051991E0,-1.852146864E0,7.562313080E0,1.042593421E1
3.671946020E-1,6.981934071E0,-1.825811744E0,7.152921677E0,1.016096848E1
3.696001750E-1,6.962780952E0,-1.832994103E0,7.169680595E0,1.016093036E1
3.720064770E-1,6.984328270E0,-1.840176344E0,7.416272640E0,1.035220702E1
3.744127270E-1,6.981934071E0,-1.823417544E0,6.808171272E0,9.920859387E0
3.768185600E-1,6.922081470E0,-1.823417544E0,7.416272640E0,1.030733541E1
3.792246020E-1,6.934051991E0,-1.797082543E0,6.894359112E0,9.941970139E0
3.816307480E-1,6.886170387E0,-1.794688463E0,7.057157993E0,1.002216185E1
3.840371020E-1,6.845469952E0,-1.799476743E0,7.270232201E0,1.014666702E1
3.864431430E-1,6.833499432E0,-1.792294383E0,6.760289192E0,9.778064410E0
3.888485600E-1,6.785618305E0,-1.830599904E0,7.430637360E0,1.022790709E1
3.912545500E-1,6.771253109E0,-1.821023583E0,6.918299675E0,9.850323139E0
3.936600700E-1,6.718583107E0,-1.828205824E0,7.236715317E0,1.004249690E1
3.960651230E-1,6.723371029E0,-1.828205824E0,7.356420517E0,1.013227405E1
3.984706950E-1,6.704218864E0,-1.830599904E0,6.947029591E0,9.826437133E0
4.008764770E-1,6.677883625E0,-1.832994103E0,7.567101002E0,1.025743704E1
4.032827270E-1,6.668307304E0,-1.816235304E0,6.961393833E0,9.809487096E0
4.056884040E-1,6.622818947E0,-1.852146864E0,7.363602161E0,1.007545610E1
4.080935600E-1,6.630001545E0,-1.835388064E0,7.301355839E0,1.003171804E1
4.104995500E-1,6.637183666E0,-1.823417544E0,6.956605911E0,9.786287568E0
4.129050180E-1,6.632395744E0,-1.840176344E0,7.547947884E0,1.021501050E1
4.153101230E-1,6.644366264E0,-1.785112023E0,6.875206470E0,9.726391520E0
4.177157480E-1,6.641972065E0,-1.816235304E0,7.267838478E0,1.001179203E1
4.201214250E-1,6.663518429E0,-1.797082543E0,7.093069553E0,9.896646867E0
4.225276750E-1,6.675488949E0,-1.785112023E0,6.841689110E0,9.724067437E0
4.249335600E-1,6.627607346E0,-1.801870704E0,7.303750038E0,1.002580080E1
4.273391330E-1,6.692248344E0,-1.758776903E0,6.602278709E0,9.563972410E0
4.297456950E-1,6.637183666E0,-1.797082543E0,7.114616394E0,9.894416563E0
4.321518930E-1,6.663518429E0,-1.768353343E0,6.875206470E0,9.736427240E0
4.345574140E-1,6.620425224E0,-1.773141623E0,6.767471790E0,9.631860454E0
4.369632480E-1,6.613242626E0,-1.765959263E0,7.205591679E0,9.938518078E0
4.393692370E-1,6.620425224E0,-1.751594663E0,6.580732346E0,9.497586652E0
4.417756430E-1,6.577331066E0,-1.761171103E0,7.200803757E0,9.910327056E0
4.441817370E-1,6.586907864E0,-1.744412303E0,6.810565948E0,9.634009447E0
4.465874140E-1,6.596484184E0,-1.744412303E0,6.800989151E0,9.633796308E0
4.489934560E-1,6.589301586E0,-1.718077302E0,7.152921677E0,9.875979623E0
4.513989770E-1,6.579725742E0,-1.708500981E0,6.537638187E0,9.431462215E0
4.538043410E-1,6.524661064E0,-1.713289022E0,7.164892197E0,9.840845567E0
4.562101230E-1,6.522267342E0,-1.679771662E0,6.705225468E0,9.503770446E0
4.586158000E-1,6.481567383E0,-1.706106782E0,6.827324390E0,9.567333715E0
4.610217890E-1,6.462414742E0,-1.696530461E0,7.069128513E0,9.726952135E0
4.634272060E-1,6.462414742E0,-1.667801261E0,6.518485546E0,9.329256088E0
4.658323100E-1,6.450444221E0,-1.660618901E0,7.167286396E0,9.784471374E0
4.682383000E-1,6.457626343E0,-1.629495621E0,6.664525986E0,9.421894744E0
4.706438200E-1,6.438473701E0,-1.653436542E0,6.899147511E0,9.580502720E0
4.730486640E-1,6.450444221E0,-1.612736940E0,7.066734314E0,9.702983302E0
4.754539770E-1,6.462414742E0,-1.612736940E0,6.619038105E0,9.390175194E0
4.778598100E-1,6.419320583E0,-1.593584180E0,7.272626877E0,9.830477556E0
4.802663730E-1,6.424108982E0,-1.555278540E0,6.736348152E0,9.437502529E0
4.826725180E-1,6.414532661E0,-1.572037220E0,7.105040073E0,9.700470336E0
4.850781430E-1,6.443261623E0,-1.536125779E0,7.160103798E0,9.754096019E0
4.874842890E-1,6.452837944E0,-1.524155378E0,6.800989151E0,9.498190385E0
4.898898100E-1,6.452837944E0,-1.524155378E0,7.397119999E0,9.933758172E0
4.922953310E-1,6.491143703E0,-1.502608418E0,6.743530750E0,9.479872658E0
4.947011120E-1,6.479173183E0,-1.509790659E0,7.114616394E0,9.740478397E0
4.971067370E-1,6.519873142E0,-1.488243818E0,7.004487991E0,9.684341355E0
4.995126230E-1,6.546208382E0,-1.493031979E0,6.652555466E0,9.451903665E0
5.019180390E-1,6.541419506E0,-1.519367099E0,7.136162758E0,9.799156313E0
5.043234040E-1,6.577331066E0,-1.497820258E0,6.408356667E0,9.304395985E0
5.067294450E-1,6.534237862E0,-1.543308139E0,6.875206470E0,9.609710113E0
5.091350700E-1,6.541419506E0,-1.528943419E0,6.616643906E0,9.429094003E0
5.115401750E-1,6.515084743E0,-1.545702219E0,6.391598225E0,9.256784130E0
5.139458520E-1,6.488749504E0,-1.579219580E0,6.872812271E0,9.582972040E0
5.163516850E-1,6.471991062E0,-1.569643259E0,6.204858780E0,9.102237129E0
