"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.154252610E-1,-3.787361085E-2,1.190881478E-3,3.665187955E-2,5.271801279E-2
1.178702610E-1,-3.787361085E-2,-3.696036292E-3,3.604101762E-2,5.241207909E-2
1.203160950E-1,-3.726274520E-2,-9.804681875E-3,3.848447651E-2,5.445823077E-2
1.227610950E-1,-3.726274520E-2,-1.469159964E-2,3.909534216E-2,5.597143074E-2
1.252053650E-1,-3.787361085E-2,-2.080024779E-2,3.848447651E-2,5.786290383E-2
1.276503650E-1,-3.604101390E-2,-2.507629991E-2,3.604101762E-2,5.680431719E-2
1.300961990E-1,-3.543015197E-2,-3.118494712E-2,3.665187955E-2,5.975915720E-2
1.325411990E-1,-3.604101390E-2,-3.668272868E-2,3.604101762E-2,6.279754945E-2
1.349854170E-1,-3.604101390E-2,-3.973705322E-2,3.481928632E-2,6.395600660E-2
1.374304700E-1,-3.481928632E-2,-4.401310533E-2,3.604101762E-2,6.669700962E-2
1.398762510E-1,-3.665187955E-2,-4.767829552E-2,3.604101762E-2,7.011087711E-2
1.423213030E-1,-3.543015197E-2,-5.012175441E-2,3.420842439E-2,7.026878562E-2
1.447655220E-1,-3.481928632E-2,-5.195434764E-2,3.420842439E-2,7.128711831E-2
1.472105220E-1,-3.359755874E-2,-5.256521329E-2,3.420842439E-2,7.114853407E-2
1.496563550E-1,-3.298669308E-2,-5.256521329E-2,3.420842439E-2,7.086211871E-2
1.521013550E-1,-3.298669308E-2,-5.256521329E-2,3.237582743E-2,6.999584110E-2
1.545455740E-1,-3.176496178E-2,-5.134348199E-2,3.298669308E-2,6.879889432E-2
1.569906260E-1,-3.115409613E-2,-5.195434764E-2,3.359755874E-2,6.927212930E-2
1.594364070E-1,-3.298669308E-2,-5.195434764E-2,3.298669308E-2,6.982476695E-2
1.618814590E-1,-2.993236855E-2,-5.195434764E-2,3.298669308E-2,6.843480727E-2
1.643256780E-1,-2.871064097E-2,-5.500867218E-2,3.481928632E-2,7.115221444E-2
1.667706780E-1,-2.932150289E-2,-5.806299299E-2,3.481928632E-2,7.377970172E-2
1.692165110E-1,-2.748890966E-2,-5.989558995E-2,3.543015197E-2,7.482257359E-2
1.716615110E-1,-2.748890966E-2,-6.294991076E-2,3.726274520E-2,7.814629613E-2
1.741057820E-1,-2.565631643E-2,-6.417164207E-2,3.848447651E-2,7.910310455E-2
1.765507820E-1,-2.748890966E-2,-6.478250772E-2,4.031706974E-2,8.110412796E-2
1.789966150E-1,-2.626718208E-2,-6.844769418E-2,4.153879732E-2,8.426460334E-2
1.814416150E-1,-2.565631643E-2,-6.722597033E-2,4.092793539E-2,8.278087674E-2
1.838858340E-1,-2.626718208E-2,-6.722597033E-2,4.214966297E-2,8.358163692E-2
1.863308340E-1,-2.443458512E-2,-6.539336592E-2,4.337139428E-2,8.218527300E-2
1.887766670E-1,-2.443458512E-2,-6.294991076E-2,4.520398751E-2,8.125971143E-2
1.912217200E-1,-2.504545078E-2,-5.867385864E-2,4.703658074E-2,7.926118988E-2
1.936659380E-1,-2.565631643E-2,-5.745213106E-2,4.703658074E-2,7.855847417E-2
1.961109380E-1,-2.565631643E-2,-5.256521329E-2,4.703658074E-2,7.505856480E-2
1.985567720E-1,-2.626718208E-2,-4.951088876E-2,4.642571509E-2,7.277801853E-2
2.010017720E-1,-2.565631643E-2,-4.584570229E-2,4.703658074E-2,7.051606143E-2
2.034459900E-1,-2.626718208E-2,-4.279137775E-2,4.764744639E-2,6.921954935E-2
2.058910420E-1,-2.504545078E-2,-4.095878452E-2,4.581485316E-2,6.636186709E-2
2.083368240E-1,-2.382372320E-2,-3.607186675E-2,4.398225993E-2,6.166999713E-2
2.107818760E-1,-2.321285754E-2,-3.240667656E-2,4.398225993E-2,5.935881257E-2
2.132260950E-1,-2.199112624E-2,-2.813062444E-2,4.214966297E-2,5.524070739E-2
2.156710950E-1,-2.138026431E-2,-2.385457046E-2,4.153879732E-2,5.245596169E-2
2.181169280E-1,-2.138026431E-2,-2.018938214E-2,4.031706974E-2,4.990183329E-2
2.205619280E-1,-2.076939866E-2,-1.774592325E-2,3.848447651E-2,4.719470992E-2
2.230061990E-1,-2.015853301E-2,-1.346987206E-2,3.726274520E-2,4.445577675E-2
2.254511990E-1,-2.138026431E-2,-1.285900641E-2,3.604101762E-2,4.383405867E-2
2.278970320E-1,-2.076939866E-2,-9.193818085E-3,3.481928632E-2,4.157254997E-2
2.303420320E-1,-1.893680543E-2,-7.972088642E-3,3.420842439E-2,3.990454982E-2
2.327862510E-1,-1.832594164E-2,-7.972088642E-3,3.115409985E-2,3.701313648E-2
2.352313030E-1,-1.832594164E-2,-6.750359200E-3,3.054323420E-2,3.625322940E-2
2.376770840E-1,-1.649334654E-2,-7.972088642E-3,2.809977531E-2,3.354373340E-2
2.401221360E-1,-1.832594164E-2,-9.804681875E-3,2.626718208E-2,3.349532472E-2
2.425663550E-1,-8.552104235E-3,-1.041554753E-2,2.626718208E-2,2.952265184E-2
2.450113550E-1,-1.343902200E-2,-1.346987206E-2,2.382372320E-2,3.048958105E-2
2.474571880E-1,-1.038469933E-2,-1.224814076E-2,2.382372320E-2,2.873027531E-2
2.499021880E-1,-9.162969887E-3,-1.408073585E-2,2.199112624E-2,2.767375603E-2
2.523464590E-1,-6.108645815E-3,-1.530246530E-2,2.199112624E-2,2.747891248E-2
2.547914590E-1,-2.443457488E-3,-1.652419381E-2,1.954766735E-2,2.571246321E-2
2.572372920E-1,-3.665186930E-3,-1.896765269E-2,1.832593977E-2,2.662790853E-2
2.596822920E-1,3.054325003E-3,-1.957851648E-2,1.771507412E-2,2.657952332E-2
2.621265110E-1,-6.108633243E-4,-2.141111158E-2,1.527161431E-2,2.630648317E-2
2.645715630E-1,7.941242307E-3,-2.141111158E-2,1.343902200E-2,2.649728931E-2
2.670173450E-1,6.719513331E-3,-2.568716556E-2,1.160642691E-2,2.897743052E-2
2.694623970E-1,1.038470119E-2,-2.446543425E-2,7.941238582E-3,2.773919181E-2
2.719066150E-1,1.099556684E-2,-3.118494712E-2,6.719509605E-3,3.374248400E-2
2.743516150E-1,1.343902573E-2,-3.423926979E-2,5.497780163E-3,3.719086709E-2
2.767974490E-1,1.649335027E-2,-3.668272868E-2,2.443456557E-3,4.029421381E-2
2.792424490E-1,1.710421406E-2,-4.095878452E-2,2.443456557E-3,4.445387101E-2
2.816867200E-1,2.321286127E-2,-4.401310533E-2,6.108623929E-4,4.976307388E-2
2.841317200E-1,2.260199562E-2,-4.951088876E-2,-6.108670495E-4,5.442932546E-2
2.865775530E-1,2.871064469E-2,-5.073262006E-2,-6.108670495E-4,5.829642369E-2
2.890225530E-1,2.748891339E-2,-5.745213106E-2,-1.832596492E-3,6.371613715E-2
2.914667720E-1,3.420842811E-2,-5.745213106E-2,-1.832596492E-3,6.689037545E-2
2.939118240E-1,3.359756246E-2,-6.172818318E-2,-2.443461679E-3,7.032165603E-2
2.963576050E-1,3.848448023E-2,-6.417164207E-2,-2.443461679E-3,7.486671737E-2
2.988026570E-1,4.092793912E-2,-6.722597033E-2,-2.443461679E-3,7.874260468E-2
3.012468760E-1,3.909534588E-2,-7.150202245E-2,-3.665191121E-3,8.157462172E-2
3.036918760E-1,4.520399123E-2,-7.333461195E-2,-2.443461679E-3,8.618199718E-2
3.061377090E-1,4.276053235E-2,-7.822152972E-2,-3.054325469E-3,8.919865326E-2
3.085827090E-1,4.886918142E-2,-8.249758929E-2,-1.832596492E-3,9.590311539E-2
3.110269800E-1,4.703658819E-2,-8.494103700E-2,-1.832596492E-3,9.711219699E-2
3.134719800E-1,5.192350596E-2,-8.921709657E-2,-6.108670495E-4,1.032284551E-1
3.159178130E-1,5.253436789E-2,-9.532574564E-2,-2.328306437E-9,1.088432708E-1
3.183628130E-1,5.497782677E-2,-9.471487254E-2,-2.328306437E-9,1.095146954E-1
3.208070320E-1,5.742128566E-2,-9.654747695E-2,6.108623929E-4,1.123342891E-1
3.232520840E-1,5.803215131E-2,-9.532574564E-2,1.832591835E-3,1.116157998E-1
3.256978650E-1,6.230819970E-2,-9.227142483E-2,2.443456557E-3,1.113656054E-1
3.281429170E-1,5.986474454E-2,-8.921709657E-2,1.221727114E-3,1.074475248E-1
3.305871360E-1,6.536252797E-2,-8.188671619E-2,3.054321278E-3,1.048190022E-1
3.330321360E-1,6.230819970E-2,-7.822152972E-2,1.832591835E-3,1.000213870E-1
3.354779700E-1,6.658425927E-2,-6.905855983E-2,2.443456557E-3,9.596102724E-2
3.379230220E-1,6.536252797E-2,-6.539336592E-2,2.443456557E-3,9.249066357E-2
3.403672400E-1,6.536252797E-2,-6.050645560E-2,2.443456557E-3,8.910253482E-2
3.428122400E-1,6.597339362E-2,-5.928472430E-2,2.443456557E-3,8.873070314E-2
3.452580740E-1,6.536252797E-2,-5.745213106E-2,1.832591835E-3,8.704232200E-2
3.477030740E-1,6.963858008E-2,-5.806299299E-2,3.054321278E-3,9.072029469E-2
3.501472920E-1,6.536252797E-2,-5.928472430E-2,3.665185999E-3,8.831971572E-2
3.525923450E-1,7.024944574E-2,-5.928472430E-2,4.886915442E-3,9.205186095E-2
3.550381780E-1,6.841684878E-2,-6.417164207E-2,5.497780163E-3,9.396323977E-2
3.574831780E-1,7.208204269E-2,-6.294991076E-2,6.719509605E-3,9.593572824E-2
3.599273970E-1,7.147117704E-2,-6.722597033E-2,7.330374327E-3,9.839306186E-2
3.623724490E-1,7.269290835E-2,-6.844769418E-2,8.552104235E-3,1.002121961E-1
3.648182300E-1,7.330376655E-2,-6.966942549E-2,1.099556312E-2,1.017259723E-1
